scenario,method,seed,phase,episode,reward
resource_moderate,full_outer_loop,43,eval,1,0.28707742807455366
resource_moderate,full_outer_loop,43,eval,2,0.06267049514688558
resource_moderate,full_outer_loop,43,eval,3,0.1151756744086743
resource_moderate,full_outer_loop,43,eval,4,0.2132981114834548
resource_moderate,full_outer_loop,43,eval,5,0.06818137380294509
resource_moderate,full_outer_loop,44,train,0,-0.7343893887058949
resource_moderate,full_outer_loop,44,train,1,-0.19758962214793424
resource_moderate,full_outer_loop,44,train,2,-0.5561802386466297
resource_moderate,full_outer_loop,44,train,3,-1.0024944374064944
resource_moderate,full_outer_loop,44,train,4,-0.33714158727860183
resource_moderate,full_outer_loop,44,train,5,-0.9108896754309534
resource_moderate,full_outer_loop,44,train,6,-1.8453150085583183
resource_moderate,full_outer_loop,44,train,7,-0.34636724325057
resource_moderate,full_outer_loop,44,train,8,-0.6175053488326375
resource_moderate,full_outer_loop,44,train,9,-2.7517200440864453
resource_moderate,full_outer_loop,44,train,10,-2.1522892064353316
resource_moderate,full_outer_loop,44,train,11,-7.2667036656763715
resource_moderate,full_outer_loop,44,train,12,-0.3651136501852306
resource_moderate,full_outer_loop,44,train,13,-0.17074262979280314
resource_moderate,full_outer_loop,44,train,14,-1.9790291343283026
resource_moderate,full_outer_loop,44,train,15,-0.4317884804435016
resource_moderate,full_outer_loop,44,train,16,-0.06803552576471696
resource_moderate,full_outer_loop,44,train,17,-0.3944485382473066
resource_moderate,full_outer_loop,44,train,18,-5.267777908472223
resource_moderate,full_outer_loop,44,train,19,-0.3138537969099708
resource_moderate,full_outer_loop,44,eval,0,0.1105963804014028
resource_moderate,full_outer_loop,44,eval,1,0.15860043551772837
resource_moderate,full_outer_loop,44,eval,2,0.27617041036486634
resource_moderate,full_outer_loop,44,eval,3,0.1066801803372801
resource_moderate,full_outer_loop,44,eval,4,0.6199999517202377
resource_moderate,full_outer_loop,44,eval,5,0.1570147712901235
resource_moderate,single_shot_llm,43,train,0,-63.701724667930435
resource_moderate,single_shot_llm,43,train,1,-81.56308779922142
resource_moderate,single_shot_llm,43,train,2,-65.31410348360465
resource_moderate,single_shot_llm,43,train,3,-71.95130385983856
resource_moderate,single_shot_llm,43,train,4,-53.4946250682437
resource_moderate,single_shot_llm,43,train,5,-54.887355002291926
resource_moderate,single_shot_llm,43,train,6,-54.41872198418434
resource_moderate,single_shot_llm,43,train,7,-87.5439348926878
resource_moderate,single_shot_llm,43,train,8,-53.94478105268674
resource_moderate,single_shot_llm,43,train,9,-79.3074964901735
resource_moderate,single_shot_llm,43,train,10,-75.14850817644849
resource_moderate,single_shot_llm,43,train,11,-77.26502828398684
resource_moderate,single_shot_llm,43,train,12,-54.35918940975991
resource_moderate,single_shot_llm,43,train,13,-67.80945212310051
resource_moderate,single_shot_llm,43,train,14,-73.83662222324149
resource_moderate,single_shot_llm,43,train,15,-13.828634684752815
resource_moderate,single_shot_llm,43,train,16,-84.66138657101297
resource_moderate,single_shot_llm,43,train,17,-54.847703785478146
resource_moderate,single_shot_llm,43,train,18,-55.18691861470402
resource_moderate,single_shot_llm,43,train,19,-45.867586074261766
resource_moderate,single_shot_llm,43,eval,0,0.401119023198262
resource_moderate,single_shot_llm,43,eval,1,0.657343191225082
resource_moderate,single_shot_llm,43,eval,2,0.44226612341590243
resource_moderate,single_shot_llm,43,eval,3,0.39845235907472676
resource_moderate,single_shot_llm,43,eval,4,0.657343191225082
resource_moderate,single_shot_llm,43,eval,5,0.43959945123642696
resource_moderate,single_shot_llm,44,train,0,-52.533067952283304
resource_moderate,single_shot_llm,44,train,1,-50.90876069566177
resource_moderate,single_shot_llm,44,train,2,-34.685623178029786
resource_moderate,single_shot_llm,44,train,3,-42.63263666396771
resource_moderate,single_shot_llm,44,train,4,-58.497254166037024
resource_moderate,single_shot_llm,44,train,5,-50.8493207096818
resource_moderate,single_shot_llm,44,train,6,-41.193197787581155
resource_moderate,single_shot_llm,44,train,7,-50.79675113743228
resource_moderate,single_shot_llm,44,train,8,-37.244861715941994
